date,all
2026-02-01,31
2026-02-02,50
2026-02-03,46
2026-02-04,44
2026-02-05,46
2026-02-06,56
2026-02-07,37
2026-02-08,48
2026-02-09,49
2026-02-10,44
2026-02-11,48
2026-02-12,50
2026-02-13,55
2026-02-14,44
2026-02-15,45
2026-02-16,54
2026-02-17,36
2026-02-18,50
2026-02-19,54
2026-02-20,42
2026-02-21,47
2026-02-22,46
2026-02-23,53
2026-02-24,42
2026-02-25,49
2026-02-26,50
2026-02-27,46
2026-02-28,34
2026-03-01,4
2026-03-02,5
2026-03-03,1
2026-03-04,0
2026-03-05,0
2026-03-06,3
2026-03-07,3
2026-03-08,1
2026-03-09,1
2026-03-10,0
2026-03-11,3
2026-03-12,0
2026-03-13,1
2026-03-14,0
2026-03-15,2
2026-03-16,1
2026-03-17,0
2026-03-18,2
2026-03-19,1
2026-03-20,1
